date,ndvi,nddi,station
2013-01-01,0.08052991803054886,-0.1763682388334195,sharurah
2013-01-09,0.11616929365998191,-0.2159429493413107,sharurah
2013-01-17,0.09898834552214592,-0.031599266004976555,sharurah
2013-01-25,0.0922768934940249,0.1564079878708638,sharurah
2013-02-02,0.09843399875594303,0.2603851799606765,sharurah
2013-02-10,0.0824032756328548,0.2626481057372761,sharurah
2013-02-18,0.10274888718482406,0.09039309994333976,sharurah
2013-02-26,0.10068725285768242,-0.1285939605627231,sharurah
2013-03-06,0.08189451801163898,-0.13036349707230285,sharurah
2013-03-14,0.09755297903104714,-0.15955318507810565,sharurah
2013-03-22,0.08555667461152724,-0.25628720821635315,sharurah
2013-03-30,0.11362045692749298,0.1571595213850127,sharurah
2013-04-07,0.08344088107749434,-0.15504578322490095,sharurah
2013-04-15,0.10706277605809274,0.12949056127571607,sharurah
2013-04-23,0.08762533088068256,-0.06450651178051398,sharurah
2013-05-01,0.11014797072062243,-0.019101433429121357,sharurah
2013-05-09,0.10691540012832942,0.05104341053745977,sharurah
2013-05-17,0.08172432739030633,0.12560882986730204,sharurah
2013-05-25,0.0908896591422467,-0.2236015260519234,sharurah
2013-06-02,0.08388018131850804,-0.23336962643909115,sharurah
2013-06-10,0.10219589219953171,0.26918859104941867,sharurah
2013-06-18,0.09148745827019826,0.00397056485461951,sharurah
2013-06-26,0.09594368251778966,-0.2966771563443275,sharurah
2013-07-04,0.08417572048757431,0.05566678895910669,sharurah
2013-07-12,0.08205378778925138,0.2415164828625445,sharurah
2013-07-20,0.09452301778823533,-0.2503663700607875,sharurah
2013-07-28,0.1153733564204277,-0.04066511365384808,sharurah
2013-08-05,0.11317785977090476,0.25048713661144917,sharurah
2013-08-13,0.10391923920235324,0.1985863705813335,sharurah
2013-08-21,0.09182627756474751,0.07392680315061108,sharurah
2013-08-29,0.08197250203866045,-0.0556619786379996,sharurah
2013-09-06,0.0802709631200501,-0.02739339572271328,sharurah
2013-09-14,0.10355215301572714,-0.11306823947730563,sharurah
2013-09-22,0.11430114250774902,-0.20542224900551886,sharurah
2013-09-30,0.10245936920840708,-0.12063103786234772,sharurah
2013-10-08,0.09861212708002491,0.11124315209797027,sharurah
2013-10-16,0.08013602646053107,-0.054648330251094425,sharurah
2013-10-24,0.1012118320063708,-0.06496088548081738,sharurah
2013-11-01,0.11162046061733279,0.09522504676834144,sharurah
2013-11-09,0.09818319521188601,-0.20797217855515399,sharurah
2013-11-17,0.1135543018545484,0.012223024784170158,sharurah
2013-11-25,0.0944683924472442,0.23660973315516665,sharurah
2013-12-03,0.08411943913044365,-0.2828534291114289,sharurah
2013-12-11,0.11465606775142277,0.14318312269265016,sharurah
2013-12-19,0.11861477282753988,-0.0863369852465879,sharurah
2013-12-27,0.11093089945211085,-0.02236695731936949,sharurah
2014-01-04,0.09093810218206497,0.12567677411950845,sharurah
