date,albedo_wsb,station
2013-01-01,0.23686073496718524,tabuk
2013-01-02,0.26042489080065123,tabuk
2013-01-03,0.24877821493487054,tabuk
2013-01-04,0.2580974979185479,tabuk
2013-01-05,0.24675073641859446,tabuk
2013-01-06,0.23189783437638126,tabuk
2013-01-07,0.2058603499247843,tabuk
2013-01-08,0.20643656773632618,tabuk
2013-01-09,0.2466411002901576,tabuk
2013-01-10,0.2429354039084677,tabuk
2013-01-11,0.23547082106437506,tabuk
2013-01-12,0.2320735380930544,tabuk
2013-01-13,0.21649422319586012,tabuk
2013-01-14,0.2411527078916285,tabuk
2013-01-15,0.24460587512342,tabuk
2013-01-16,0.26505872448503737,tabuk
2013-01-17,0.2592806117476015,tabuk
2013-01-18,0.24853880020824695,tabuk
2013-01-19,0.23338084361392525,tabuk
2013-01-20,0.25503963655254813,tabuk
2013-01-21,0.24267536341089016,tabuk
2013-01-22,0.22148573480406591,tabuk
2013-01-23,0.24326154383742726,tabuk
2013-01-24,0.2639831822969847,tabuk
2013-01-25,0.2557864678680276,tabuk
2013-01-26,0.23758636875192024,tabuk
2013-01-27,0.23726424190817505,tabuk
2013-01-28,0.23741561705966105,tabuk
2013-01-29,0.2526618501563976,tabuk
2013-01-30,0.2606172120469911,tabuk
2013-01-31,0.2748078308227186,tabuk
2013-02-01,0.24977232408796055,tabuk
2013-02-02,0.242883308053146,tabuk
2013-02-03,0.23569701560367662,tabuk
2013-02-04,0.2401726117755266,tabuk
2013-02-05,0.2435268820364282,tabuk
2013-02-06,0.24851411583575592,tabuk
2013-02-07,0.23205039001516353,tabuk
2013-02-08,0.2508619118922086,tabuk
2013-02-09,0.2545997776737683,tabuk
2013-02-10,0.240525873631387,tabuk
2013-02-11,0.22923441932149288,tabuk
2013-02-12,0.23388633987506888,tabuk
2013-02-13,0.25732715774164683,tabuk
2013-02-14,0.2596017037266531,tabuk
2013-02-15,0.24843897223061828,tabuk
2013-02-16,0.25520565541799484,tabuk
2013-02-17,0.2777947568093264,tabuk
2013-02-18,0.2696298660129351,tabuk
2013-02-19,0.24677860147408687,tabuk
2013-02-20,0.2470663309688611,tabuk
2013-02-21,0.2610211466783642,tabuk
2013-02-22,0.27341665784186925,tabuk
2013-02-23,0.2838744420349501,tabuk
2013-02-24,0.28448861462961755,tabuk
2013-02-25,0.3067120569513429,tabuk
2013-02-26,0.25273733680753097,tabuk
2013-02-27,0.25486881806171424,tabuk
2013-02-28,0.24980516575804285,tabuk
2013-03-01,0.25965877153158534,tabuk
2013-03-02,0.264188979592187,tabuk
2013-03-03,0.2694893785956662,tabuk
2013-03-04,0.27253738219683665,tabuk
2013-03-05,0.2706807161138268,tabuk
2013-03-06,0.24705261591385777,tabuk
2013-03-07,0.2776347686035102,tabuk
2013-03-08,0.26855379854244055,tabuk
2013-03-09,0.2585524007813473,tabuk
2013-03-10,0.25689801631400655,tabuk
2013-03-11,0.26113988183265824,tabuk
2013-03-12,0.2541626534854451,tabuk
2013-03-13,0.24845030566807136,tabuk
2013-03-14,0.257296911108282,tabuk
2013-03-15,0.251719448994683,tabuk
2013-03-16,0.27616014238216435,tabuk
2013-03-17,0.2965256391543009,tabuk
2013-03-18,0.29510857486992514,tabuk
2013-03-19,0.27206209083947475,tabuk
2013-03-20,0.2802086150940631,tabuk
2013-03-21,0.2833600042924239,tabuk
2013-03-22,0.2988491221336542,tabuk
2013-03-23,0.28164692202225877,tabuk
2013-03-24,0.28320389722092104,tabuk
2013-03-25,0.2601667247112183,tabuk
2013-03-26,0.2810376506903676,tabuk
2013-03-27,0.28314207834731536,tabuk
2013-03-28,0.2896275029565391,tabuk
2013-03-29,0.2897954262565057,tabuk
2013-03-30,0.278565415344966,tabuk
2013-03-31,0.2702320026568223,tabuk
2013-04-01,0.2707329026490683,tabuk
2013-04-02,0.26313938191708164,tabuk
2013-04-03,0.30512094643517773,tabuk
2013-04-04,0.3005031263856445,tabuk
2013-04-05,0.2916318205034602,tabuk
2013-04-06,0.28632992483547254,tabuk
2013-04-07,0.28598268764008045,tabuk
2013-04-08,0.29077781303466643,tabuk
2013-04-09,0.2798424816202669,tabuk
2013-04-10,0.29143321057851856,tabuk
2013-04-11,0.2895597459389661,tabuk
2013-04-12,0.2956502367775901,tabuk
2013-04-13,0.2962686036440027,tabuk
2013-04-14,0.2913475669550091,tabuk
2013-04-15,0.2873827911003929,tabuk
2013-04-16,0.29907842586384004,tabuk
2013-04-17,0.29430495376608,tabuk
2013-04-18,0.29436143318851604,tabuk
2013-04-19,0.30596795372821556,tabuk
2013-04-20,0.3146433493010121,tabuk
2013-04-21,0.33939226753725593,tabuk
2013-04-22,0.3201177304585786,tabuk
2013-04-23,0.30843004380319766,tabuk
2013-04-24,0.2914636697626219,tabuk
2013-04-25,0.29816410702141205,tabuk
2013-04-26,0.31701309656587634,tabuk
2013-04-27,0.3080904548456448,tabuk
2013-04-28,0.2953612405202056,tabuk
2013-04-29,0.3194575056441562,tabuk
2013-04-30,0.29168326749595597,tabuk
2013-05-01,0.2950451633375036,tabuk
2013-05-02,0.315495955628711,tabuk
2013-05-03,0.31705702051548834,tabuk
2013-05-04,0.3137033633184675,tabuk
2013-05-05,0.31024609300461503,tabuk
2013-05-06,0.30798802863341423,tabuk
2013-05-07,0.30540441134054175,tabuk
2013-05-08,0.31579523329747894,tabuk
2013-05-09,0.3379379734566487,tabuk
2013-05-10,0.3211546101661641,tabuk
2013-05-11,0.29125275660155864,tabuk
2013-05-12,0.30272414832726546,tabuk
2013-05-13,0.3159691470210541,tabuk
2013-05-14,0.3103148895261315,tabuk
2013-05-15,0.2866696299443674,tabuk
2013-05-16,0.28759869501273416,tabuk
2013-05-17,0.28247624297779245,tabuk
2013-05-18,0.27777724177114826,tabuk
2013-05-19,0.2912156489124913,tabuk
2013-05-20,0.3056106505454085,tabuk
2013-05-21,0.31364059512958475,tabuk
2013-05-22,0.3133570621862548,tabuk
2013-05-23,0.31789181800994887,tabuk
2013-05-24,0.3344685715621708,tabuk
2013-05-25,0.3311657948097494,tabuk
2013-05-26,0.3133778749191965,tabuk
2013-05-27,0.306763817214974,tabuk
2013-05-28,0.303558925919782,tabuk
2013-05-29,0.3035038412153756,tabuk
2013-05-30,0.3317166264571652,tabuk
2013-05-31,0.30478791272619243,tabuk
2013-06-01,0.31758370386547496,tabuk
2013-06-02,0.315630891024467,tabuk
2013-06-03,0.33508805680843806,tabuk
2013-06-04,0.34683294394941416,tabuk
2013-06-05,0.3172220565354617,tabuk
2013-06-06,0.3043353581390319,tabuk
2013-06-07,0.30475342447189213,tabuk
2013-06-08,0.31010557418119244,tabuk
2013-06-09,0.2979372754812442,tabuk
2013-06-10,0.3163177202807223,tabuk
2013-06-11,0.32978370721614275,tabuk
2013-06-12,0.33045167426015815,tabuk
2013-06-13,0.32436784908791866,tabuk
2013-06-14,0.33962250566886243,tabuk
2013-06-15,0.35073100054844575,tabuk
2013-06-16,0.34054373926372394,tabuk
2013-06-17,0.34139323359200113,tabuk
2013-06-18,0.314500433346784,tabuk
2013-06-19,0.3215622292262707,tabuk
2013-06-20,0.30882606539831603,tabuk
2013-06-21,0.28856848133655877,tabuk
2013-06-22,0.32118959866562213,tabuk
2013-06-23,0.3397049924745436,tabuk
2013-06-24,0.3371251309639571,tabuk
2013-06-25,0.33861367918474267,tabuk
2013-06-26,0.3229325531178291,tabuk
2013-06-27,0.32992039249209315,tabuk
2013-06-28,0.32370072752747137,tabuk
2013-06-29,0.33342082378478355,tabuk
2013-06-30,0.3311976318159002,tabuk
2013-07-01,0.3212932745123318,tabuk
2013-07-02,0.31134988739134656,tabuk
2013-07-03,0.3190907325511818,tabuk
2013-07-04,0.2975225105441183,tabuk
2013-07-05,0.3145262955656836,tabuk
2013-07-06,0.29749367431599577,tabuk
2013-07-07,0.3086848443134111,tabuk
2013-07-08,0.29618818025072147,tabuk
2013-07-09,0.3028197817431494,tabuk
2013-07-10,0.31821301710906175,tabuk
2013-07-11,0.3419088790238034,tabuk
2013-07-12,0.34051875694425576,tabuk
2013-07-13,0.32686161853314144,tabuk
2013-07-14,0.3288871659719605,tabuk
2013-07-15,0.3430031646065118,tabuk
2013-07-16,0.31602546923447594,tabuk
2013-07-17,0.2961246139586755,tabuk
2013-07-18,0.28865727601781377,tabuk
2013-07-19,0.2962156789524855,tabuk
2013-07-20,0.3149521062064154,tabuk
